queue_position,bags,vehicle_type,arrival_hour,avg_service_minutes,weather_delay_minutes,workers_available,warehouse_load_percent,day_of_week,festival_season,expected_wait_minutes
88,390,MiniTruck,8,16,27,1,96,Thursday,0,1084
59,771,Pickup,6,8,9,5,75,Saturday,1,385
198,306,Pickup,18,18,14,3,24,Wednesday,0,2525
114,124,Truck,13,10,1,9,79,Monday,1,827
99,844,MiniTruck,18,19,17,4,81,Saturday,0,1379
56,120,Pickup,11,13,7,9,22,Tuesday,1,522
76,861,Truck,19,13,16,6,78,Saturday,0,744
99,71,Tractor,15,9,10,5,70,Saturday,1,678
38,934,Pickup,8,20,26,5,25,Thursday,1,596
110,276,Tractor,6,18,20,7,46,Tuesday,1,1443
18,900,Tractor,11,10,23,9,71,Thursday,1,195
178,161,MiniTruck,15,8,6,9,75,Saturday,1,1034
156,73,Pickup,20,4,25,5,86,Friday,1,529
152,715,Tractor,8,5,22,6,67,Tuesday,1,606
2,375,Truck,16,20,30,10,38,Thursday,0,77
148,448,Truck,20,14,19,8,74,Wednesday,0,1501
81,216,MiniTruck,12,18,1,8,84,Friday,1,1055
128,747,MiniTruck,11,12,5,7,29,Friday,0,1078
62,871,MiniTruck,8,9,15,4,71,Saturday,0,444
117,766,Tractor,8,5,22,3,42,Saturday,0,465
124,125,Truck,18,6,26,8,67,Saturday,1,597
110,641,Truck,13,7,13,3,27,Wednesday,0,569
158,924,MiniTruck,7,13,8,9,71,Friday,0,1462
9,403,Tractor,7,17,30,10,21,Tuesday,0,147
48,50,Tractor,17,17,30,10,90,Monday,0,646
69,208,Pickup,10,19,26,2,27,Thursday,0,977
19,481,Pickup,20,4,29,4,30,Thursday,0,114
115,928,Truck,20,14,21,1,24,Wednesday,0,1178
54,209,Pickup,19,18,5,5,55,Thursday,0,702
29,903,Pickup,8,12,25,8,75,Tuesday,0,307
139,247,Truck,17,16,24,6,53,Monday,0,1613
90,650,MiniTruck,7,11,23,10,48,Tuesday,1,748
180,181,Pickup,8,6,5,10,35,Thursday,0,753
90,687,Truck,10,17,1,3,75,Saturday,1,1116
116,424,MiniTruck,19,9,14,3,90,Saturday,1,809
92,230,Pickup,10,15,0,8,20,Friday,1,966
78,855,Truck,12,19,11,7,22,Tuesday,0,1049
140,30,Truck,15,9,19,1,41,Tuesday,0,937
96,815,MiniTruck,20,11,19,1,55,Wednesday,0,801
150,250,Tractor,20,9,11,4,51,Tuesday,0,980
2,1000,Tractor,9,15,2,1,39,Wednesday,1,56
89,893,Truck,7,11,10,5,62,Saturday,0,721
58,895,Pickup,15,20,26,9,91,Wednesday,0,882
160,218,Tractor,9,9,9,4,70,Tuesday,1,1064
34,27,Truck,11,11,3,3,54,Wednesday,0,285
42,920,Truck,13,14,24,10,70,Wednesday,0,464
15,140,Tractor,9,19,12,4,29,Thursday,1,241
80,622,MiniTruck,10,9,2,1,69,Tuesday,1,554
165,115,Tractor,20,18,10,10,32,Friday,0,2085
47,425,Pickup,7,11,3,8,67,Tuesday,1,392
33,986,Pickup,19,12,15,6,39,Saturday,1,323
65,412,Truck,20,8,22,1,99,Thursday,0,454
115,848,Tractor,6,4,18,10,40,Saturday,1,363
81,915,Tractor,10,5,6,3,33,Monday,1,318
177,255,MiniTruck,11,4,10,2,54,Tuesday,0,536
26,615,Truck,10,11,21,1,86,Thursday,1,297
152,492,Tractor,10,18,19,3,67,Saturday,1,1992
34,177,Truck,14,11,22,5,100,Saturday,1,355
180,974,Truck,15,9,23,1,58,Friday,1,1221
127,62,Pickup,13,16,26,10,45,Tuesday,0,1466
194,194,Pickup,11,7,11,10,27,Tuesday,1,971
120,753,MiniTruck,12,12,1,9,62,Saturday,1,1029
189,559,Tractor,19,9,24,6,75,Saturday,1,1273
35,434,Tractor,6,20,8,7,81,Tuesday,0,525
93,332,Tractor,19,14,23,6,30,Friday,1,969
44,588,Tractor,8,9,27,6,21,Monday,0,323
91,766,Pickup,8,13,14,3,90,Thursday,0,892
151,798,MiniTruck,20,9,20,1,31,Tuesday,0,1003
63,964,MiniTruck,7,13,18,10,42,Friday,0,600
4,640,Pickup,12,9,26,8,25,Tuesday,1,80
103,20,MiniTruck,20,14,26,1,94,Wednesday,1,1120
50,209,Truck,13,13,20,1,22,Saturday,0,502
158,96,Truck,17,6,18,4,51,Wednesday,0,713
138,654,Tractor,8,9,9,8,31,Monday,0,878
98,892,Truck,17,5,13,1,87,Tuesday,1,424
125,694,Truck,11,16,8,7,34,Saturday,1,1427
15,505,Pickup,19,8,12,5,47,Saturday,1,131
3,35,MiniTruck,9,18,5,4,54,Thursday,0,62
114,865,Pickup,16,8,27,4,34,Tuesday,0,697
106,137,Truck,16,12,9,2,75,Wednesday,0,939
52,752,Truck,12,15,8,5,34,Saturday,0,564
118,202,Pickup,13,16,16,6,81,Thursday,0,1376
109,899,Tractor,18,12,19,5,43,Friday,0,960
72,921,Pickup,18,6,15,6,63,Monday,1,360
6,108,Pickup,15,10,5,5,43,Monday,0,58
74,593,Tractor,13,13,8,5,29,Thursday,0,688
57,295,MiniTruck,12,14,25,4,84,Thursday,1,653
115,603,Truck,8,15,27,5,88,Wednesday,0,1290
97,882,Tractor,12,5,8,8,42,Tuesday,1,367
188,743,MiniTruck,7,4,30,1,96,Wednesday,0,631
129,915,MiniTruck,16,14,15,5,42,Monday,1,1315
186,305,Tractor,11,4,26,1,94,Tuesday,1,631
137,99,MiniTruck,16,17,1,5,82,Saturday,1,1673
189,116,MiniTruck,9,18,16,9,53,Wednesday,0,2412
118,72,Pickup,17,16,2,9,77,Saturday,1,1352
107,282,Pickup,19,18,4,7,49,Thursday,0,1359
95,694,MiniTruck,20,6,16,6,86,Saturday,0,456
16,172,Pickup,13,9,18,2,21,Friday,1,156
86,61,Pickup,16,16,0,5,50,Wednesday,1,988
193,923,Pickup,6,14,28,1,49,Saturday,0,1968
114,293,Pickup,15,20,7,4,23,Thursday,1,1624
166,470,Tractor,6,16,15,2,90,Tuesday,0,1928
189,207,Pickup,12,19,29,10,55,Monday,0,2569
198,544,Pickup,14,20,13,6,47,Friday,1,2818
174,632,Truck,12,19,24,4,93,Thursday,0,2396
78,716,Tractor,17,20,22,10,84,Thursday,1,1163
7,779,MiniTruck,18,14,27,1,58,Friday,0,148
36,868,Truck,17,18,1,5,91,Thursday,0,486
140,905,Pickup,16,18,0,7,70,Tuesday,0,1778
16,800,Truck,12,9,18,1,80,Tuesday,0,173
197,877,Truck,16,9,15,2,91,Tuesday,1,1325
180,350,Tractor,18,11,14,2,78,Saturday,0,1447
137,453,MiniTruck,15,12,5,7,95,Wednesday,0,1187
8,231,Tractor,20,6,21,4,61,Wednesday,0,94
29,309,MiniTruck,18,17,14,1,68,Friday,0,404
17,651,MiniTruck,19,18,6,1,67,Wednesday,0,256
70,257,MiniTruck,16,11,25,1,38,Saturday,0,605
120,762,Truck,12,19,16,1,69,Saturday,1,1674
165,297,Tractor,16,7,10,9,94,Monday,0,848
98,686,MiniTruck,20,8,28,9,31,Wednesday,0,593
52,982,Pickup,18,5,3,8,26,Friday,0,177
106,665,MiniTruck,6,18,28,1,46,Monday,0,1411
133,675,Truck,13,9,12,3,87,Tuesday,1,911
141,198,MiniTruck,19,13,26,9,61,Monday,0,1338
118,170,MiniTruck,15,9,20,8,100,Wednesday,0,809
20,449,Truck,12,7,23,10,69,Monday,0,148
121,435,Pickup,8,4,17,1,87,Tuesday,0,413
62,659,Truck,13,5,20,3,73,Tuesday,1,299
72,295,Tractor,11,16,20,3,52,Wednesday,1,878
2,103,Tractor,6,13,25,3,58,Tuesday,1,103
56,437,Truck,15,6,30,3,48,Thursday,1,325
64,29,Tractor,14,12,18,8,71,Saturday,0,585
64,644,Pickup,16,18,0,3,57,Tuesday,1,840
82,156,MiniTruck,6,15,11,4,74,Wednesday,0,908
180,565,Pickup,18,15,24,5,22,Tuesday,1,1948
180,298,Tractor,7,15,27,10,77,Thursday,0,1952
133,398,MiniTruck,17,16,13,3,45,Tuesday,0,1529
110,59,Pickup,12,18,19,10,87,Thursday,1,1452
150,95,Tractor,11,13,18,8,42,Tuesday,0,1398
66,210,Pickup,8,9,30,7,92,Friday,0,500
3,413,Pickup,12,6,30,8,92,Friday,1,109
46,213,MiniTruck,12,8,18,10,90,Tuesday,0,308
83,789,Pickup,19,16,17,9,79,Saturday,1,991
116,645,Tractor,11,17,0,5,35,Tuesday,1,1397
135,196,Truck,14,12,28,10,51,Monday,1,1200
52,637,Tractor,18,6,4,3,71,Monday,0,252
2,938,Truck,10,13,1,8,71,Tuesday,0,31
79,778,Tractor,19,5,27,5,92,Monday,0,361
77,141,Truck,9,20,25,10,83,Wednesday,0,1139
163,883,Pickup,8,5,18,10,89,Thursday,1,636
172,412,MiniTruck,8,8,9,1,62,Friday,0,1009
15,551,Tractor,9,14,26,4,23,Friday,1,213
110,458,Truck,15,12,17,10,71,Tuesday,0,963
167,897,MiniTruck,12,8,28,1,30,Thursday,1,1018
63,663,Truck,13,17,13,2,87,Thursday,1,828
123,176,MiniTruck,19,4,9,4,59,Thursday,1,394
31,747,Tractor,11,11,30,2,44,Thursday,1,329
104,119,Truck,6,19,15,8,45,Saturday,0,1411
19,528,MiniTruck,6,11,13,2,93,Saturday,0,212
12,170,MiniTruck,19,6,18,4,86,Thursday,0,117
54,490,Truck,9,13,23,3,57,Wednesday,1,571
115,313,Truck,18,12,15,7,23,Thursday,1,1001
33,813,Tractor,11,6,29,1,80,Thursday,1,248
20,816,Truck,18,19,20,1,91,Wednesday,0,348
124,731,Tractor,16,9,27,9,95,Wednesday,0,855
69,380,Pickup,9,12,1,10,29,Friday,1,581
131,21,MiniTruck,11,6,23,2,61,Thursday,1,635
70,755,Pickup,16,15,7,10,34,Thursday,0,736
166,523,Pickup,6,5,9,1,95,Tuesday,0,643
184,338,MiniTruck,20,13,3,9,55,Monday,0,1680
155,965,Tractor,8,6,25,9,23,Saturday,0,685
151,411,Pickup,18,9,24,1,50,Friday,1,1036
140,587,Pickup,16,12,20,1,76,Friday,0,1251
39,421,MiniTruck,8,14,2,7,56,Saturday,1,408
182,634,Tractor,19,10,23,4,63,Saturday,1,1354
34,224,Truck,20,10,19,8,58,Wednesday,0,281
129,949,Truck,18,17,15,1,84,Saturday,1,1619
11,630,Tractor,6,7,19,10,31,Friday,1,92
57,100,Truck,9,8,25,7,68,Monday,0,382
86,570,MiniTruck,14,14,17,1,63,Tuesday,1,920
62,210,Truck,7,16,1,5,78,Saturday,0,720
38,38,MiniTruck,9,19,21,1,80,Thursday,1,599
94,748,MiniTruck,10,19,23,1,88,Saturday,0,1337
164,936,Tractor,7,18,24,2,57,Thursday,0,2136
159,606,MiniTruck,17,11,18,5,73,Thursday,1,1296
105,155,Pickup,8,11,10,10,68,Monday,1,847
60,33,Tractor,17,16,2,9,58,Monday,0,678
96,517,Pickup,6,10,29,7,86,Thursday,0,752
85,970,Truck,12,11,1,7,70,Tuesday,1,685
3,399,Truck,8,20,28,2,74,Wednesday,0,129
160,578,Truck,6,10,18,1,95,Monday,0,1200
16,844,Tractor,16,4,4,6,37,Monday,1,68
87,181,Tractor,18,18,24,6,92,Thursday,1,1187
60,898,Truck,15,9,12,1,26,Friday,1,427
12,156,Pickup,11,19,29,5,61,Wednesday,1,248
162,624,Tractor,6,14,9,9,97,Wednesday,1,1642
85,250,Truck,7,4,20,9,35,Saturday,1,283
90,664,MiniTruck,14,10,9,5,62,Thursday,1,679
41,907,Tractor,15,15,4,2,83,Friday,1,489
14,342,Pickup,12,4,7,7,33,Thursday,0,48
80,574,Pickup,6,18,0,5,77,Saturday,0,1031
194,451,Pickup,6,8,6,6,28,Wednesday,1,1109
7,92,MiniTruck,9,4,2,8,49,Saturday,0,24
109,528,Truck,11,17,1,6,87,Thursday,0,1324
96,152,Tractor,10,13,2,4,51,Friday,1,906
79,472,MiniTruck,6,16,30,5,66,Tuesday,0,962
175,851,MiniTruck,17,18,18,1,60,Saturday,1,2283
32,606,Truck,18,20,20,10,88,Thursday,1,517
191,979,MiniTruck,19,16,18,4,74,Wednesday,1,2215
32,587,Tractor,9,14,22,10,83,Wednesday,1,384
102,580,Truck,11,18,1,3,51,Saturday,1,1318
122,840,Truck,14,12,7,1,32,Friday,0,1051
42,46,MiniTruck,12,19,7,4,44,Tuesday,1,597
55,825,Tractor,9,16,9,5,25,Tuesday,0,631
83,265,Tractor,19,16,29,8,68,Friday,0,997
67,189,Pickup,13,11,19,3,48,Saturday,1,583
167,164,Truck,8,11,21,3,22,Friday,0,1329
65,725,Truck,7,17,19,4,49,Tuesday,1,839
76,161,Tractor,10,19,21,2,97,Friday,0,1095
156,29,Pickup,11,14,27,2,62,Wednesday,1,1622
33,938,Pickup,6,18,10,7,92,Saturday,0,460
52,584,Tractor,7,4,0,7,56,Tuesday,0,152
173,178,Tractor,18,17,20,3,36,Thursday,1,2122
120,498,Tractor,9,6,13,9,24,Thursday,1,530
77,767,Pickup,6,18,0,4,91,Wednesday,0,1003
61,407,Truck,11,14,5,10,84,Wednesday,0,619
162,314,Truck,17,5,20,8,58,Saturday,0,612
34,939,Pickup,10,4,21,7,80,Wednesday,0,156
110,484,Pickup,8,15,18,1,75,Tuesday,0,1225
11,270,Pickup,9,20,21,6,71,Wednesday,1,228
187,92,MiniTruck,15,18,8,6,96,Thursday,0,2402
27,555,Tractor,15,19,23,10,89,Saturday,1,434
154,828,Truck,10,20,13,1,95,Saturday,1,2241
81,34,MiniTruck,15,10,4,7,75,Wednesday,0,591
33,154,Tractor,15,12,28,7,32,Tuesday,0,328
41,755,Truck,16,7,10,10,56,Friday,1,233
59,277,Truck,6,6,5,8,75,Saturday,0,271
36,951,Tractor,19,20,22,5,83,Wednesday,0,574
164,185,MiniTruck,12,18,23,9,82,Monday,0,2126
33,229,Pickup,14,19,1,6,89,Wednesday,0,467
100,554,Truck,12,6,23,4,52,Friday,1,495
103,333,Pickup,17,12,12,1,61,Friday,1,931
176,474,MiniTruck,15,16,6,9,50,Monday,1,1996
40,226,Pickup,18,7,1,9,27,Friday,0,184
107,105,Pickup,12,8,0,2,73,Wednesday,1,644
82,770,Pickup,16,20,13,5,62,Thursday,1,1205
83,355,MiniTruck,20,19,11,2,42,Wednesday,1,1155
111,301,Truck,6,5,12,9,77,Wednesday,1,439
136,896,Tractor,10,5,11,2,73,Thursday,1,543
66,352,Truck,8,9,28,5,58,Wednesday,0,485
198,544,Pickup,20,13,0,3,45,Tuesday,1,1830
137,456,Truck,14,11,26,6,80,Monday,0,1128
116,40,Tractor,12,10,1,10,58,Wednesday,0,813
55,544,Pickup,6,9,1,6,26,Friday,0,343
8,643,MiniTruck,17,6,6,5,94,Monday,1,92
164,87,Pickup,15,19,27,10,82,Tuesday,1,2261
87,176,MiniTruck,7,10,11,7,98,Wednesday,0,659
77,345,Truck,13,10,11,7,82,Wednesday,0,581
147,349,Pickup,16,11,18,5,22,Wednesday,0,1163
36,693,Pickup,6,9,22,10,52,Wednesday,0,266
167,912,Truck,18,11,2,6,87,Friday,0,1315
86,553,MiniTruck,15,4,14,4,59,Tuesday,0,286
59,118,Pickup,16,18,15,5,88,Thursday,1,817
93,644,MiniTruck,7,13,2,9,74,Saturday,1,875
176,555,Tractor,9,4,16,9,36,Friday,1,530
165,552,Pickup,17,20,25,5,33,Friday,1,2376
41,270,Tractor,8,17,0,6,90,Thursday,1,529
43,490,Pickup,19,19,9,9,46,Monday,1,600
50,736,Truck,12,16,5,10,47,Saturday,0,563
96,114,Truck,13,20,4,5,38,Thursday,1,1371
88,596,MiniTruck,12,4,29,7,39,Tuesday,0,302
118,762,Tractor,9,19,3,8,99,Friday,0,1600
39,925,Tractor,9,19,21,10,27,Monday,1,559
81,863,MiniTruck,19,18,1,9,55,Thursday,1,1038
149,350,MiniTruck,7,18,13,8,60,Wednesday,0,1909
152,557,Truck,19,5,26,8,46,Thursday,0,583
91,617,Truck,11,19,19,1,91,Friday,1,1305
95,542,Pickup,8,16,26,9,46,Friday,1,1127
141,544,Pickup,12,10,16,1,39,Monday,1,1050
103,101,Tractor,9,16,21,2,43,Monday,0,1211
162,890,MiniTruck,17,6,17,9,32,Tuesday,1,718
168,822,Truck,14,8,26,1,82,Monday,1,1045
100,752,Truck,19,7,1,8,95,Tuesday,0,515
124,818,Tractor,15,8,12,9,97,Tuesday,0,739
71,947,Pickup,16,13,19,8,25,Tuesday,1,687
12,450,Pickup,11,18,16,10,72,Friday,0,189
49,366,MiniTruck,17,18,0,8,76,Tuesday,0,631
197,194,Tractor,7,14,10,6,100,Monday,1,1997
113,712,Truck,11,8,20,2,87,Thursday,0,710
133,300,MiniTruck,10,5,9,6,85,Friday,0,508
27,98,MiniTruck,7,13,28,8,26,Saturday,0,290
193,176,Tractor,16,14,27,1,45,Thursday,1,1979
30,352,Pickup,19,6,23,1,94,Saturday,1,231
116,652,Pickup,14,5,27,3,49,Saturday,1,490
200,662,MiniTruck,11,17,16,5,53,Thursday,1,2438
148,849,MiniTruck,6,11,26,7,74,Wednesday,0,1207
17,462,Tractor,8,14,15,4,83,Friday,0,226
31,383,Pickup,11,18,22,3,96,Saturday,0,473
170,469,Tractor,7,20,12,9,46,Saturday,0,2400
35,598,Truck,11,15,29,5,40,Tuesday,0,430
45,327,Truck,12,15,2,9,64,Saturday,1,496
138,273,Pickup,18,16,0,8,46,Wednesday,1,1559
99,886,Pickup,17,12,12,3,35,Wednesday,1,879
140,310,Truck,20,19,8,10,34,Thursday,0,1864
114,23,MiniTruck,6,9,28,3,29,Friday,0,779
104,598,Truck,16,13,28,2,49,Wednesday,1,1035
171,511,Pickup,17,5,22,10,52,Friday,0,638
178,518,Pickup,10,4,23,3,95,Saturday,0,582
138,434,MiniTruck,16,11,6,1,39,Thursday,1,1106
192,50,Pickup,17,9,3,9,44,Thursday,1,1225
116,490,Truck,15,16,13,7,75,Monday,0,1341
36,340,Pickup,20,11,8,3,24,Tuesday,0,296
35,716,Tractor,10,5,2,4,76,Thursday,0,152
108,519,MiniTruck,15,4,3,8,77,Friday,0,322
84,173,MiniTruck,10,16,3,5,57,Monday,0,960
55,271,MiniTruck,7,18,9,7,66,Thursday,1,738
36,909,Pickup,19,5,3,9,69,Tuesday,1,154
193,151,Pickup,9,6,18,10,65,Saturday,1,864
157,668,MiniTruck,11,9,20,3,82,Saturday,1,1076
97,891,MiniTruck,18,6,9,10,25,Monday,0,407
141,351,Truck,8,14,10,2,46,Wednesday,1,1433
175,281,Pickup,13,8,5,9,88,Tuesday,0,1007
77,500,Tractor,9,6,8,6,55,Thursday,0,348
96,723,Pickup,10,10,4,6,31,Monday,1,692
179,820,Pickup,14,20,14,10,60,Tuesday,0,2534
35,915,Truck,10,4,18,6,56,Tuesday,1,159
127,686,Pickup,12,7,16,4,26,Saturday,1,670
129,72,Truck,7,19,30,4,30,Wednesday,0,1778
150,106,MiniTruck,7,6,8,4,75,Thursday,1,686
44,666,Truck,18,4,15,9,29,Friday,1,155
25,66,Pickup,16,20,10,7,58,Tuesday,1,393
195,485,Truck,12,4,4,7,94,Saturday,0,580
63,966,Truck,11,12,5,4,21,Thursday,0,537
14,209,Tractor,6,9,30,9,75,Wednesday,1,173
179,39,MiniTruck,20,8,5,5,32,Monday,1,1028
40,47,Pickup,12,19,1,2,60,Monday,1,573
82,776,Tractor,6,7,27,7,74,Tuesday,0,471
190,551,Tractor,8,8,27,3,55,Monday,0,1136
82,257,Tractor,8,9,1,6,68,Tuesday,0,534
25,699,Truck,19,6,3,4,52,Friday,1,140
54,248,Truck,9,11,20,3,66,Tuesday,1,494
30,835,Tractor,8,11,23,10,52,Wednesday,1,288
174,310,MiniTruck,8,10,9,3,84,Thursday,1,1284
198,843,MiniTruck,15,18,13,1,42,Wednesday,1,2553
110,217,MiniTruck,8,5,23,10,65,Tuesday,1,448
193,484,Pickup,16,11,8,10,90,Saturday,1,1532
46,656,Pickup,19,11,11,7,31,Wednesday,0,370
99,433,MiniTruck,19,14,18,2,54,Thursday,1,1042
41,398,Tractor,19,20,1,10,73,Thursday,1,597
27,292,Pickup,18,15,7,4,71,Friday,1,336
41,315,Pickup,18,12,29,7,75,Saturday,1,433
171,258,MiniTruck,9,17,4,10,90,Wednesday,0,2057
40,316,Tractor,20,16,15,10,39,Wednesday,0,467
87,506,Truck,8,18,27,7,45,Saturday,0,1151
83,297,Tractor,16,13,13,9,62,Friday,1,800
64,704,Truck,12,7,12,9,38,Wednesday,1,344
152,674,Tractor,15,6,13,2,65,Tuesday,0,690
26,423,Tractor,17,18,2,1,51,Monday,1,369
54,505,Tractor,12,5,15,3,20,Monday,1,235
138,648,Pickup,19,19,30,9,22,Friday,0,1879
99,769,MiniTruck,15,10,3,3,35,Wednesday,1,722
51,626,MiniTruck,18,18,12,3,61,Saturday,1,703
37,786,Tractor,12,13,11,7,46,Tuesday,0,360
118,162,MiniTruck,6,10,12,10,53,Friday,0,846
171,132,Tractor,16,17,22,7,57,Friday,1,2101
23,655,Pickup,13,4,13,9,48,Tuesday,1,102
57,634,Truck,6,7,30,7,33,Tuesday,1,349
198,604,Truck,7,16,24,4,92,Friday,1,2314
188,619,Truck,18,6,6,4,49,Wednesday,1,829
56,507,Pickup,19,19,21,4,55,Friday,0,802
73,66,MiniTruck,7,5,30,2,75,Thursday,0,347
10,95,MiniTruck,20,6,3,7,21,Wednesday,0,37
198,45,Truck,19,13,20,3,24,Tuesday,1,1859
107,968,Truck,12,5,23,2,99,Friday,0,464
64,318,Tractor,7,10,8,9,62,Wednesday,1,483
40,81,Tractor,11,10,2,7,27,Saturday,1,291
145,707,Truck,13,7,6,9,68,Monday,0,729
83,826,Pickup,7,6,25,8,34,Tuesday,0,391
181,120,MiniTruck,20,4,4,5,79,Saturday,0,539
42,975,Truck,10,6,3,3,88,Thursday,1,232
82,159,Pickup,20,6,24,10,47,Thursday,1,400
131,397,Pickup,12,13,27,7,44,Friday,0,1247
62,587,Truck,6,19,9,10,34,Saturday,1,844
32,821,MiniTruck,8,11,20,3,35,Wednesday,1,309
13,97,Tractor,7,14,6,6,26,Thursday,1,149
170,209,Pickup,7,17,17,5,64,Wednesday,0,2074
83,199,Pickup,17,13,28,2,20,Tuesday,1,830
73,518,Truck,20,18,18,9,96,Saturday,1,991
134,558,MiniTruck,12,16,19,5,84,Friday,0,1565
15,51,MiniTruck,7,14,13,8,64,Saturday,1,196
54,394,MiniTruck,18,20,9,3,43,Thursday,0,786
117,179,Pickup,12,8,24,6,71,Wednesday,0,720
67,411,Truck,13,4,21,1,30,Wednesday,1,256
29,878,Tractor,6,16,16,7,43,Wednesday,0,357
180,544,Pickup,18,7,28,1,20,Saturday,1,960
105,574,Truck,16,12,25,2,82,Tuesday,0,967
2,503,Pickup,8,10,16,2,35,Wednesday,0,57
36,254,Tractor,14,8,5,3,91,Tuesday,1,263
4,568,MiniTruck,13,14,27,3,87,Tuesday,1,142
156,625,MiniTruck,6,4,8,2,24,Saturday,1,473
116,639,Truck,9,15,28,2,34,Tuesday,1,1300
171,50,MiniTruck,9,14,30,8,38,Tuesday,0,1730
2,830,Pickup,10,7,20,6,82,Friday,0,72
154,797,Pickup,14,11,0,3,89,Monday,0,1221
7,936,MiniTruck,7,13,29,6,51,Wednesday,0,129
157,360,Tractor,18,20,24,2,53,Wednesday,1,2281
143,439,Pickup,10,8,17,1,42,Monday,0,852
6,414,Tractor,18,15,15,9,23,Saturday,0,77
119,591,Truck,16,8,3,4,99,Saturday,1,724
65,973,Tractor,19,16,19,10,21,Wednesday,1,761
142,350,MiniTruck,20,19,25,6,95,Friday,1,1983
179,806,Truck,14,12,5,10,20,Thursday,1,1508
146,672,Truck,17,13,11,3,86,Friday,1,1399
4,406,Truck,17,5,12,6,73,Thursday,0,56
60,483,MiniTruck,11,18,28,1,30,Thursday,1,839
37,474,Pickup,7,11,13,9,28,Wednesday,0,297
36,386,Tractor,16,4,16,5,44,Thursday,1,154
158,648,Tractor,16,16,9,5,58,Thursday,1,1816
47,350,Truck,14,13,21,3,50,Saturday,0,485
65,198,Tractor,10,20,0,1,55,Monday,1,949
182,149,MiniTruck,7,14,10,4,70,Friday,0,1826
84,567,MiniTruck,11,18,9,10,23,Thursday,0,1057
128,596,Pickup,6,9,8,3,67,Thursday,0,846
62,801,Tractor,9,8,19,6,96,Wednesday,1,430
47,973,Tractor,19,6,10,9,37,Friday,1,223
58,67,MiniTruck,6,8,19,7,70,Tuesday,0,376
114,181,Truck,13,13,30,3,96,Tuesday,0,1136
7,329,Truck,12,18,17,3,35,Wednesday,0,130
152,200,Pickup,12,10,15,1,70,Tuesday,0,1126
91,789,Truck,9,7,26,4,95,Tuesday,0,533
78,564,MiniTruck,6,9,4,1,73,Monday,0,532
28,610,Tractor,16,11,6,6,99,Tuesday,1,274
155,518,Truck,15,5,0,1,22,Tuesday,1,565
111,121,Pickup,8,9,26,6,68,Saturday,1,782
180,524,Truck,14,15,11,10,59,Monday,1,1926
149,656,Tractor,9,4,9,6,47,Tuesday,0,440
22,414,Pickup,13,6,9,6,68,Wednesday,1,141
188,314,Tractor,13,4,25,2,98,Wednesday,1,634
51,713,Truck,20,6,21,8,83,Thursday,1,288
183,458,MiniTruck,6,15,5,8,73,Monday,0,1943
7,822,Tractor,14,6,26,6,81,Friday,0,103
105,698,Truck,18,5,4,3,51,Monday,0,392
101,509,Pickup,6,16,20,8,100,Thursday,0,1197
86,271,Tractor,8,10,21,8,35,Friday,1,652
150,179,Truck,19,8,12,9,56,Saturday,1,880
107,245,Pickup,7,6,9,3,97,Wednesday,0,506
6,61,Truck,17,11,14,6,51,Friday,0,81
63,739,Truck,9,8,8,7,64,Friday,1,394
98,647,Tractor,8,19,24,9,53,Monday,1,1365
169,587,Tractor,18,19,13,6,92,Monday,1,2316
54,961,Tractor,6,7,3,5,23,Thursday,1,282
42,737,Pickup,12,13,5,7,76,Tuesday,1,424
17,844,Tractor,13,9,8,6,64,Tuesday,0,137
126,992,MiniTruck,16,16,10,7,98,Thursday,1,1474
67,561,Pickup,14,13,18,7,40,Tuesday,1,659
148,314,MiniTruck,19,7,0,5,72,Saturday,0,746
81,25,Pickup,15,8,18,7,61,Thursday,1,514
29,166,Truck,19,17,24,3,77,Thursday,1,437
46,631,Tractor,17,14,22,1,98,Thursday,0,540
66,721,MiniTruck,19,8,2,3,93,Monday,1,426
112,909,MiniTruck,20,4,5,3,45,Wednesday,1,352
119,583,Truck,10,15,15,10,79,Tuesday,1,1304
30,904,MiniTruck,17,5,14,1,46,Tuesday,0,153
24,319,Pickup,14,8,24,4,44,Thursday,0,192
178,77,MiniTruck,11,6,22,7,82,Thursday,1,826
4,424,Tractor,12,11,21,3,86,Thursday,0,106
2,135,Truck,8,8,0,1,86,Wednesday,1,66
33,417,MiniTruck,18,10,6,4,74,Thursday,1,283
6,989,Tractor,17,16,15,2,46,Thursday,0,114
86,675,MiniTruck,15,13,28,7,96,Tuesday,0,865
144,399,Pickup,10,5,3,4,38,Wednesday,1,532
196,907,Truck,20,10,11,1,20,Monday,0,1401
85,318,Pickup,7,19,11,9,27,Friday,0,1139
56,994,Truck,10,12,20,2,27,Wednesday,0,517
70,267,Truck,11,16,12,9,63,Monday,0,812
85,215,Truck,10,20,20,4,81,Wednesday,1,1273
82,380,Truck,9,5,19,1,33,Thursday,1,353
98,308,Pickup,7,19,26,8,90,Wednesday,0,1376
24,969,Truck,8,18,25,2,71,Friday,0,381
124,738,Truck,12,6,3,6,86,Thursday,1,566
133,452,Truck,7,19,26,7,76,Wednesday,0,1837
170,223,Tractor,12,6,15,1,61,Monday,1,786
138,232,MiniTruck,9,12,11,9,28,Friday,1,1183
109,355,Pickup,17,8,17,6,51,Wednesday,0,651
64,612,Tractor,10,9,12,7,38,Monday,1,440
