variety,total_bags,damaged,wet,moisture_pct,humidity_pct,rain_risk_pct,source
Sona Masoori,380,37,17,13.9,57,10,inspection
Swarna,220,17,0,16.2,94,8,inspection
Swarna,88,1,2,13.1,90,55,inspection
Ponni,86,1,3,13.1,74,51,inspection
IR-64,366,18,8,15.7,89,1,inspection
Swarna,377,35,14,14.8,71,83,inspection
Swarna,324,6,9,13.2,62,13,inspection
Sona Masoori,363,7,9,15.7,62,73,inspection
Basmati,275,7,1,14.1,89,56,inspection
Sona Masoori,90,5,2,12.2,87,55,inspection
Basmati,219,5,3,14.6,84,18,inspection
Basmati,209,13,7,13.5,50,66,inspection
Sona Masoori,181,8,1,14.2,85,6,inspection
IR-64,387,10,9,16.3,54,43,inspection
Jasmine,299,18,5,14.7,71,74,inspection
Basmati,274,24,12,13.2,56,58,inspection
Swarna,172,12,4,16.4,90,28,inspection
IR-64,182,7,3,14.0,71,94,inspection
Sona Masoori,245,14,1,11.6,72,3,inspection
Swarna,159,15,1,14.8,73,5,inspection
Basmati,149,3,6,12.7,66,92,inspection
IR-64,151,13,0,12.5,61,33,inspection
Jasmine,130,12,1,13.5,57,43,inspection
IR-64,249,23,12,15.8,92,21,inspection
Ponni,282,6,13,16.2,54,15,inspection
IR-64,158,6,3,14.3,94,47,inspection
Jasmine,185,4,4,16.4,89,75,inspection
IR-64,227,20,9,12.8,90,35,inspection
Ponni,310,25,9,12.6,55,60,inspection
IR-64,320,13,8,13.6,91,65,inspection
IR-64,224,11,10,15.3,83,88,inspection
Swarna,197,13,2,14.6,90,74,inspection
IR-64,291,10,12,16.1,75,27,inspection
Ponni,140,8,0,16.5,73,32,inspection
Sona Masoori,211,13,4,13.9,72,29,inspection
Ponni,232,10,9,13.8,79,55,inspection
Basmati,199,6,6,13.5,61,56,inspection
Basmati,102,6,0,13.1,82,65,inspection
Basmati,176,2,1,12.0,54,46,inspection
IR-64,405,33,13,13.2,69,95,inspection
Basmati,157,12,7,15.2,58,91,inspection
Sona Masoori,454,43,18,13.1,72,51,inspection
Jasmine,66,5,0,14.0,82,19,inspection
Jasmine,443,27,12,12.6,64,66,inspection
Swarna,429,16,4,15.8,71,10,inspection
Jasmine,273,3,1,12.6,78,71,inspection
IR-64,216,17,9,16.5,50,63,inspection
Basmati,175,13,6,13.7,93,51,inspection
Basmati,226,21,1,14.6,86,4,inspection
Basmati,350,21,6,14.8,88,77,inspection
Swarna,164,7,3,16.5,54,68,inspection
Basmati,351,6,1,16.6,90,38,inspection
Ponni,150,8,1,11.7,94,77,inspection
Sona Masoori,257,17,0,13.0,64,37,inspection
Sona Masoori,248,21,5,14.2,60,41,inspection
IR-64,116,8,2,12.2,76,61,inspection
IR-64,126,10,4,16.1,69,55,inspection
IR-64,369,10,13,14.5,69,75,inspection
Swarna,201,3,4,12.6,59,57,inspection
IR-64,329,16,9,13.2,86,62,inspection
Jasmine,106,7,3,13.0,79,44,inspection
Basmati,260,8,11,14.7,61,53,inspection
Jasmine,281,20,1,13.9,92,23,inspection
Jasmine,82,7,2,12.8,60,35,inspection
Jasmine,94,4,3,15.2,63,63,inspection
Sona Masoori,248,19,4,11.9,56,64,inspection
Swarna,144,7,0,12.8,82,5,inspection
Jasmine,405,31,17,15.5,74,43,inspection
Swarna,79,7,1,11.6,57,90,inspection
Jasmine,297,17,3,14.1,54,10,inspection
Swarna,131,3,0,14.0,67,20,inspection
Sona Masoori,150,6,0,13.1,84,94,inspection
Sona Masoori,406,10,14,12.9,78,45,inspection
Jasmine,332,28,13,12.6,94,6,inspection
Jasmine,399,28,8,15.3,56,49,inspection
Ponni,62,5,1,11.8,74,25,inspection
IR-64,162,16,2,12.0,76,3,inspection
IR-64,408,33,16,15.0,64,12,inspection
IR-64,430,8,7,12.4,76,65,inspection
Ponni,380,17,8,12.5,63,69,inspection
IR-64,169,1,5,12.1,70,22,inspection
Sona Masoori,259,17,3,12.6,64,8,inspection
Ponni,248,9,7,11.7,63,52,inspection
Sona Masoori,424,13,2,14.3,86,21,inspection
Basmati,383,8,3,15.2,93,88,inspection
Jasmine,222,3,0,16.7,92,61,inspection
Ponni,289,8,8,13.5,90,94,inspection
Sona Masoori,179,5,3,11.6,57,39,inspection
IR-64,377,20,3,11.9,58,47,inspection
Swarna,164,10,7,14.9,65,92,inspection
Jasmine,228,18,0,12.2,70,82,inspection
Swarna,391,33,6,15.8,51,29,inspection
IR-64,165,13,5,14.4,92,31,inspection
IR-64,371,9,11,16.1,83,41,inspection
Sona Masoori,311,20,2,11.9,62,6,inspection
IR-64,124,10,5,12.0,87,70,inspection
IR-64,319,7,3,11.9,79,39,inspection
Swarna,150,9,7,14.7,69,36,inspection
IR-64,199,19,3,16.1,80,10,inspection
Swarna,145,9,3,14.0,77,64,inspection
IR-64,479,37,10,16.6,80,2,inspection
Sona Masoori,448,26,12,16.3,69,76,inspection
IR-64,191,6,5,13.5,69,58,inspection
Swarna,96,2,4,13.3,95,60,inspection
Sona Masoori,66,3,1,16.1,73,62,inspection
Swarna,440,29,12,13.5,81,39,inspection
Swarna,79,7,0,16.8,57,49,inspection
Swarna,190,14,6,15.6,72,65,inspection
Basmati,416,31,5,11.8,74,54,inspection
Sona Masoori,476,5,15,13.4,95,86,inspection
IR-64,193,6,5,14.7,93,18,inspection
Jasmine,490,33,22,12.4,57,11,inspection
Swarna,421,38,18,14.6,55,66,inspection
IR-64,484,26,12,13.8,94,38,inspection
Swarna,360,31,1,13.1,76,93,inspection
Ponni,457,35,21,15.7,59,34,inspection
Swarna,417,4,1,13.1,60,62,inspection
Jasmine,273,20,2,14.3,91,36,inspection
Basmati,155,4,7,15.2,62,62,inspection
Swarna,350,5,3,15.8,61,25,inspection
IR-64,192,12,5,16.7,76,56,inspection
Jasmine,145,3,0,11.9,55,48,inspection
Sona Masoori,359,28,0,12.7,81,86,inspection
Basmati,444,35,0,16.6,92,74,inspection
IR-64,327,18,15,15.7,74,77,inspection
Basmati,308,14,5,14.0,71,77,inspection
Basmati,221,10,6,15.8,73,85,inspection
Basmati,229,20,4,15.8,50,58,inspection
IR-64,73,6,2,14.7,83,35,inspection
IR-64,248,21,6,13.9,93,84,inspection
Jasmine,156,1,2,11.5,90,41,inspection
Sona Masoori,473,14,11,15.4,93,56,inspection
Jasmine,373,35,17,15.7,72,54,inspection
Swarna,397,17,12,16.0,56,93,inspection
Jasmine,133,7,0,16.1,86,91,inspection
Sona Masoori,214,5,4,15.9,85,59,inspection
Sona Masoori,306,8,11,15.0,65,31,inspection
Jasmine,418,5,19,12.0,77,91,inspection
Basmati,256,8,6,15.6,64,92,inspection
Jasmine,123,9,0,15.0,84,81,inspection
Jasmine,230,3,3,16.1,86,76,inspection
Jasmine,440,29,12,15.4,74,83,inspection
Swarna,473,17,2,12.7,66,14,inspection
Basmati,439,41,12,14.6,62,95,inspection
IR-64,496,37,7,13.2,74,73,inspection
Ponni,334,12,6,12.5,74,54,inspection
Jasmine,467,29,2,12.2,92,77,inspection
Sona Masoori,335,27,4,16.0,70,18,inspection
IR-64,315,11,11,15.1,59,76,inspection
Jasmine,77,7,0,14.7,69,64,inspection
Jasmine,353,12,17,14.0,63,63,inspection
Sona Masoori,474,40,22,13.3,95,26,inspection
IR-64,418,31,6,15.4,61,62,inspection
Jasmine,494,22,10,12.3,51,70,inspection
Swarna,238,13,3,15.5,75,9,inspection
Jasmine,159,2,2,15.2,85,50,inspection
Ponni,472,24,3,11.8,95,38,inspection
IR-64,286,8,11,15.2,68,18,inspection
IR-64,436,37,2,15.0,73,92,inspection
IR-64,252,21,11,16.5,77,86,inspection
Sona Masoori,242,4,6,16.7,61,6,inspection
Basmati,363,27,4,13.8,59,80,inspection
Sona Masoori,183,11,1,13.6,69,88,inspection
Jasmine,252,4,5,15.6,92,84,inspection
Jasmine,255,10,1,13.0,91,56,inspection
Sona Masoori,122,3,3,14.1,92,65,inspection
Ponni,305,8,7,13.0,56,75,inspection
Jasmine,419,7,1,13.8,86,16,inspection
Ponni,154,6,6,13.6,94,2,inspection
Ponni,310,23,12,11.8,87,68,inspection
Sona Masoori,445,11,13,15.5,92,15,inspection
IR-64,62,0,1,14.4,70,15,inspection
Jasmine,142,2,0,12.0,66,4,inspection
Basmati,246,24,8,16.6,60,54,inspection
IR-64,213,14,4,11.7,83,37,inspection
Ponni,311,20,7,15.2,83,45,inspection
Jasmine,110,1,0,15.0,52,30,inspection
IR-64,128,5,0,14.7,63,75,inspection
Ponni,276,12,12,11.9,66,33,inspection
Swarna,293,14,10,11.9,66,86,inspection
Ponni,164,11,1,11.9,67,81,inspection
Basmati,348,8,14,15.0,82,77,inspection
Basmati,463,14,6,13.8,51,77,inspection
Ponni,116,4,0,15.1,76,8,inspection
Basmati,458,4,8,12.9,64,35,inspection
IR-64,253,14,11,16.5,57,22,inspection
Ponni,480,19,13,15.8,56,67,inspection
Basmati,342,8,16,12.9,56,6,inspection
Swarna,152,9,6,13.3,93,68,inspection
Swarna,304,21,10,14.6,66,1,inspection
Jasmine,124,4,5,12.3,86,94,inspection
Jasmine,249,16,8,15.2,65,86,inspection
IR-64,284,10,13,16.7,79,64,inspection
Ponni,427,28,1,16.2,64,39,inspection
Basmati,268,4,9,15.6,55,81,inspection
Sona Masoori,144,5,6,14.5,55,95,inspection
Sona Masoori,277,15,9,15.1,58,61,inspection
Jasmine,332,21,15,15.2,75,1,inspection
Jasmine,63,4,0,15.3,94,68,inspection
Jasmine,398,25,12,16.5,83,87,inspection
IR-64,405,10,7,16.4,83,28,inspection
IR-64,323,17,2,13.4,53,54,inspection
Sona Masoori,233,20,9,16.3,65,69,inspection
Basmati,213,2,6,14.1,66,27,inspection
Swarna,171,14,0,16.4,91,65,inspection
Swarna,376,3,8,16.0,53,45,inspection
Basmati,241,6,4,12.1,72,92,inspection
Sona Masoori,280,15,2,14.1,55,67,inspection
Sona Masoori,309,9,6,11.5,92,32,inspection
Basmati,246,20,1,13.8,61,68,inspection
Swarna,396,16,8,15.9,60,17,inspection
Basmati,423,5,8,12.6,62,36,inspection
Jasmine,229,6,5,16.3,60,85,inspection
Jasmine,196,10,6,12.1,81,70,inspection
IR-64,226,17,8,15.5,75,64,inspection
Swarna,127,2,2,12.1,56,2,inspection
Sona Masoori,452,38,9,15.1,53,86,inspection
Ponni,437,15,1,11.5,80,37,inspection
Swarna,186,6,7,14.8,82,23,inspection
Basmati,418,22,16,12.8,77,25,inspection
Sona Masoori,418,11,17,15.4,89,23,inspection
Jasmine,384,17,5,12.3,57,16,inspection
IR-64,134,2,0,13.8,89,25,inspection
Swarna,328,9,6,13.1,90,29,inspection
Sona Masoori,321,6,5,13.8,53,38,inspection
Basmati,424,11,0,13.7,70,6,inspection
Jasmine,441,15,13,13.2,68,60,inspection
Swarna,154,6,0,12.8,81,46,inspection
Jasmine,66,2,2,15.1,58,42,inspection
Jasmine,458,14,6,14.6,88,47,inspection
Ponni,256,17,7,12.0,56,16,inspection
Sona Masoori,360,9,8,16.6,91,24,inspection
Sona Masoori,98,3,2,16.5,89,43,inspection
IR-64,333,9,9,15.3,52,16,inspection
Basmati,448,40,10,16.0,85,44,inspection
Jasmine,120,5,5,16.3,54,61,inspection
Ponni,464,33,2,11.6,88,35,inspection
Sona Masoori,349,26,6,11.8,94,24,inspection
Jasmine,332,16,8,16.1,54,21,inspection
Ponni,459,13,0,13.6,88,34,inspection
Ponni,171,8,6,14.6,50,65,inspection
Ponni,192,14,5,13.1,64,37,inspection
IR-64,174,2,1,11.7,65,37,inspection
Basmati,128,12,6,12.9,53,82,inspection
IR-64,333,22,16,12.1,91,44,inspection
Basmati,102,7,2,16.5,85,33,inspection
Ponni,210,17,8,13.2,53,80,inspection
IR-64,434,42,11,16.6,61,32,inspection
Ponni,114,10,1,15.3,94,48,inspection
Jasmine,384,11,5,14.7,63,56,inspection
Ponni,382,19,13,15.8,75,19,inspection
Swarna,248,13,5,12.3,80,11,inspection
IR-64,156,5,2,14.5,61,82,inspection
IR-64,478,7,1,13.6,88,24,inspection
IR-64,292,21,2,16.3,75,12,inspection
Sona Masoori,368,7,0,12.0,74,2,inspection
Jasmine,82,1,2,12.2,55,34,inspection
Sona Masoori,465,35,7,16.6,56,69,inspection
Jasmine,103,9,4,12.6,80,72,inspection
Basmati,229,13,3,14.0,65,7,inspection
Ponni,123,7,0,11.6,52,13,inspection
Swarna,132,4,2,11.5,64,3,inspection
Basmati,395,28,14,13.0,93,49,inspection
Sona Masoori,311,5,14,12.4,57,28,inspection
Basmati,99,9,4,14.8,57,46,inspection
Sona Masoori,369,14,3,12.3,77,67,inspection
Swarna,136,9,1,16.2,93,38,inspection
Sona Masoori,198,18,8,16.4,92,47,inspection
Jasmine,468,37,3,11.9,50,19,inspection
IR-64,259,5,5,13.9,80,8,inspection
Jasmine,202,5,3,12.3,70,16,inspection
Basmati,313,20,9,13.7,94,52,inspection
IR-64,470,22,11,16.5,65,49,inspection
Ponni,312,5,11,14.3,64,49,inspection
Ponni,355,6,6,15.6,64,89,inspection
IR-64,495,47,22,11.6,85,60,inspection
Sona Masoori,238,12,9,13.4,58,37,inspection
Ponni,275,21,1,12.8,64,7,inspection
Jasmine,420,40,7,12.3,51,89,inspection
Jasmine,114,9,4,15.0,54,61,inspection
Sona Masoori,135,2,3,13.4,55,31,inspection
Swarna,136,3,3,15.6,80,95,inspection
Basmati,300,24,10,13.7,71,56,inspection
Basmati,116,7,1,12.3,91,4,inspection
IR-64,65,6,1,13.6,77,87,inspection
Jasmine,484,18,5,12.9,86,64,inspection
IR-64,199,19,1,16.7,83,48,inspection
IR-64,265,7,9,14.8,64,50,inspection
Ponni,369,19,12,16.0,94,59,inspection
Swarna,483,32,4,13.5,53,47,inspection
Sona Masoori,113,1,1,11.9,88,42,inspection
Ponni,114,8,1,11.8,88,1,inspection
Ponni,163,5,7,14.9,52,30,inspection
Ponni,82,1,0,14.5,80,5,inspection
Basmati,64,3,1,16.7,68,50,inspection
Swarna,431,30,7,13.4,58,89,inspection
Jasmine,317,19,6,12.0,59,3,inspection
Ponni,496,35,1,11.7,60,19,inspection
Jasmine,107,8,3,16.5,64,27,inspection
Jasmine,142,14,4,16.8,82,66,inspection
Ponni,453,16,14,13.3,58,43,inspection
Swarna,80,2,3,16.2,93,49,inspection
Ponni,98,9,0,16.6,86,80,inspection
Sona Masoori,133,11,5,15.6,69,70,inspection
Sona Masoori,315,29,2,12.0,70,21,inspection
Basmati,355,9,13,13.4,55,9,inspection
Basmati,302,28,14,16.7,78,83,inspection
Ponni,309,14,9,11.7,68,51,inspection
Jasmine,126,12,2,13.8,82,79,inspection
Jasmine,271,3,13,14.2,66,87,inspection
Sona Masoori,439,4,18,15.7,94,71,inspection
Basmati,252,7,11,12.3,75,9,inspection
Jasmine,107,6,4,13.3,79,82,inspection
Sona Masoori,103,8,1,12.5,56,50,inspection
Basmati,93,2,3,13.2,88,62,inspection
Sona Masoori,202,19,1,13.9,84,19,inspection
IR-64,223,3,9,14.5,88,48,inspection
Swarna,302,28,10,12.6,63,2,inspection
Basmati,189,3,3,14.9,55,18,inspection
Basmati,424,12,18,13.9,76,67,inspection
IR-64,485,46,7,11.8,77,43,inspection
IR-64,238,13,9,16.5,80,60,inspection
Jasmine,283,12,0,13.4,94,73,inspection
Ponni,161,10,2,11.9,92,74,inspection
Jasmine,440,10,10,15.9,70,1,inspection
IR-64,315,14,8,16.1,57,86,inspection
Sona Masoori,290,14,14,16.5,58,81,inspection
Sona Masoori,78,5,3,12.7,62,53,inspection
Ponni,253,24,7,12.6,63,24,inspection
Sona Masoori,249,22,6,15.8,51,38,inspection
Sona Masoori,418,19,7,14.1,79,52,inspection
Ponni,278,25,6,14.3,71,14,inspection
Basmati,150,7,2,14.4,60,69,inspection
Jasmine,412,30,19,15.1,90,36,inspection
Sona Masoori,104,7,3,15.8,56,11,inspection
Swarna,113,2,2,14.1,89,69,inspection
Ponni,472,13,18,11.7,68,53,inspection
Ponni,255,10,10,12.1,80,15,inspection
Swarna,271,21,5,16.3,91,90,inspection
Basmati,460,41,6,12.7,68,34,inspection
Swarna,404,4,3,12.8,76,4,inspection
Basmati,490,19,23,15.8,88,40,inspection
Swarna,183,11,3,14.4,75,24,inspection
Sona Masoori,470,44,9,16.4,77,16,inspection
Jasmine,148,3,1,13.6,70,66,inspection
Jasmine,470,29,9,12.2,57,80,inspection
Jasmine,193,5,0,15.9,60,41,inspection
Swarna,65,0,2,14.8,87,19,inspection
Sona Masoori,352,23,13,13.5,58,58,inspection
IR-64,182,4,7,15.0,64,38,inspection
Jasmine,459,31,6,15.8,74,33,inspection
IR-64,381,7,17,11.6,87,13,inspection
Sona Masoori,114,2,2,12.3,66,23,inspection
Basmati,489,39,10,12.6,56,62,inspection
Swarna,380,16,5,11.9,93,53,inspection
Swarna,473,43,15,12.4,69,1,inspection
Jasmine,370,36,8,16.0,57,43,inspection
Ponni,367,28,17,14.4,60,66,inspection
IR-64,370,20,2,11.7,51,66,inspection
Basmati,118,2,0,16.3,51,41,inspection
Jasmine,124,11,2,12.9,80,25,inspection
Ponni,393,22,7,13.1,81,55,inspection
IR-64,188,6,3,12.4,93,91,inspection
Ponni,466,37,22,15.6,69,21,inspection
Swarna,281,21,11,16.2,77,76,inspection
Ponni,115,7,2,14.7,77,25,inspection
Jasmine,479,46,6,11.8,60,4,inspection
Swarna,210,8,0,14.7,91,67,inspection
IR-64,474,15,5,13.2,61,45,inspection
Basmati,250,2,8,12.3,70,15,inspection
Jasmine,228,20,6,12.6,86,41,inspection
Swarna,205,3,2,14.7,83,27,inspection
Ponni,473,42,9,16.1,54,73,inspection
Swarna,222,3,5,15.8,62,25,inspection
Sona Masoori,200,5,3,13.7,57,57,inspection
Swarna,181,12,7,14.6,68,2,inspection
Sona Masoori,296,26,13,13.0,75,4,inspection
Sona Masoori,232,4,9,14.9,54,60,inspection
Jasmine,214,3,8,13.0,72,51,inspection
Swarna,373,36,9,11.7,69,89,inspection
Jasmine,122,1,0,16.0,89,13,inspection
Sona Masoori,131,9,1,12.1,70,88,inspection
Sona Masoori,157,15,7,15.3,73,68,inspection
Sona Masoori,192,2,2,16.2,52,14,inspection
Basmati,228,16,10,15.1,74,34,inspection
Ponni,295,22,13,12.1,70,18,inspection
Swarna,386,22,11,13.9,57,66,inspection
Jasmine,310,16,1,16.7,70,93,inspection
Basmati,424,29,15,11.9,85,31,inspection
IR-64,415,12,13,11.9,81,7,inspection
Swarna,479,19,19,13.5,81,13,inspection
Ponni,323,16,2,16.0,69,90,inspection
Ponni,114,5,2,16.3,64,46,inspection
Ponni,322,5,6,12.6,75,24,inspection
Jasmine,217,4,5,16.5,86,82,inspection
Sona Masoori,441,11,0,12.1,51,58,inspection
Jasmine,331,30,1,13.9,66,15,inspection
Swarna,168,9,0,12.3,82,55,inspection
Basmati,249,18,5,12.0,91,48,inspection
Basmati,156,8,3,13.6,88,35,inspection
Swarna,115,11,1,15.1,91,31,inspection
Sona Masoori,78,4,1,14.5,65,8,inspection
Ponni,418,7,15,15.3,75,50,inspection
Jasmine,197,8,2,14.1,60,26,inspection
Ponni,207,11,7,15.4,56,23,inspection
Swarna,438,11,14,13.1,94,30,inspection
IR-64,155,14,5,13.3,79,18,inspection
Swarna,231,5,8,11.6,66,9,inspection
Sona Masoori,364,3,15,13.4,80,74,inspection
Swarna,116,8,1,11.7,51,72,inspection
IR-64,328,6,13,14.2,59,12,inspection
Basmati,291,9,7,14.1,72,69,inspection
Basmati,294,21,13,11.6,72,38,inspection
Jasmine,498,10,17,16.1,88,61,inspection
Jasmine,387,26,2,11.6,76,28,inspection
Swarna,75,3,2,12.8,94,55,inspection
IR-64,253,17,11,14.9,67,80,inspection
Swarna,329,29,6,12.4,93,44,inspection
Swarna,201,11,3,13.1,52,74,inspection
Ponni,122,11,4,13.8,79,72,inspection
Basmati,116,2,3,16.6,81,87,inspection
Ponni,208,7,2,14.8,92,20,inspection
Basmati,67,5,0,13.9,63,36,inspection
Swarna,216,18,0,11.5,72,84,inspection
IR-64,239,23,6,16.2,82,85,inspection
Sona Masoori,425,26,1,12.9,62,55,inspection
IR-64,76,6,2,14.0,72,31,inspection
Swarna,264,24,7,16.6,56,33,inspection
IR-64,348,7,13,13.8,70,74,inspection
Basmati,129,4,1,13.7,62,38,inspection
Jasmine,296,5,7,14.4,74,55,inspection
Jasmine,220,9,3,14.2,93,91,inspection
Swarna,275,25,0,16.6,79,3,inspection
Swarna,105,8,3,15.5,89,38,inspection
Basmati,125,1,5,14.8,86,37,inspection
IR-64,266,13,0,15.1,79,66,inspection
Sona Masoori,198,7,0,15.9,91,13,inspection
Basmati,349,7,10,14.1,71,7,inspection
Ponni,438,24,12,15.3,94,26,inspection
Swarna,129,11,1,12.7,93,81,inspection
Basmati,428,28,4,16.7,50,62,inspection
Sona Masoori,60,1,0,12.3,57,66,inspection
Swarna,72,1,0,15.9,78,50,inspection
Swarna,307,10,9,16.7,65,69,inspection
Swarna,499,11,0,15.0,57,55,inspection
IR-64,479,26,16,15.4,65,21,inspection
IR-64,303,5,8,14.0,68,85,inspection
Basmati,401,32,9,13.0,74,89,inspection
Swarna,135,8,0,11.6,79,15,inspection
Basmati,77,3,3,14.9,92,79,inspection
Basmati,131,1,1,14.0,79,35,inspection
Ponni,498,45,13,16.1,63,44,inspection
Ponni,92,6,2,12.4,59,45,inspection
Swarna,426,34,14,16.1,58,35,inspection
Swarna,94,4,2,16.4,91,61,inspection
Jasmine,152,8,0,14.6,82,84,inspection
Basmati,361,23,7,16.6,72,74,inspection
Sona Masoori,75,1,0,16.0,60,29,inspection
Jasmine,303,24,1,13.2,64,93,inspection
IR-64,432,6,5,16.2,76,8,inspection
Sona Masoori,493,31,20,15.5,78,47,inspection
IR-64,224,4,7,12.1,78,48,inspection
Ponni,162,11,1,12.5,81,56,inspection
Jasmine,142,2,0,13.8,83,24,inspection
Jasmine,109,4,2,12.6,58,0,inspection
Ponni,96,9,3,13.3,93,93,inspection
Ponni,314,26,7,12.5,63,73,inspection
Basmati,376,18,11,16.3,58,8,inspection
Sona Masoori,351,6,8,11.9,83,38,inspection
Sona Masoori,367,30,5,14.4,51,28,inspection
Basmati,259,25,0,15.2,54,20,inspection
Ponni,183,6,5,16.0,89,64,inspection
Ponni,417,39,20,16.2,87,60,inspection
Jasmine,75,2,3,11.7,76,33,inspection
Sona Masoori,131,12,0,12.6,71,84,inspection
Swarna,97,7,3,15.8,86,78,inspection
Sona Masoori,237,18,11,16.7,76,76,inspection
Ponni,305,4,0,16.5,67,92,inspection
Ponni,175,6,7,14.9,77,61,inspection
IR-64,70,4,3,16.4,51,25,inspection
Jasmine,410,6,15,15.4,85,61,inspection
Jasmine,124,2,2,13.8,77,70,inspection
Ponni,248,22,2,13.4,71,55,inspection
Sona Masoori,361,28,14,11.6,76,95,inspection
Ponni,350,11,0,11.7,50,92,inspection
Sona Masoori,124,4,3,13.8,68,5,inspection
IR-64,209,14,6,12.2,75,61,inspection
Sona Masoori,188,13,7,16.5,63,63,inspection
IR-64,287,10,9,15.3,73,70,inspection
Ponni,196,3,3,13.2,84,64,inspection
Swarna,421,7,19,16.5,81,35,inspection
Ponni,178,3,6,13.1,85,26,inspection
IR-64,78,5,1,16.7,94,56,inspection
Sona Masoori,70,2,1,14.1,52,34,inspection
Sona Masoori,90,4,3,13.0,89,49,inspection
Swarna,287,7,6,11.7,63,48,inspection
Sona Masoori,398,37,18,13.1,84,44,inspection
Basmati,484,37,8,16.3,87,27,inspection
Ponni,282,16,13,16.1,53,13,inspection
Jasmine,207,9,7,16.1,84,59,inspection
Ponni,193,14,8,12.4,74,59,inspection
IR-64,67,1,0,13.0,93,35,inspection
Ponni,211,13,3,13.3,75,4,inspection
Jasmine,188,3,5,15.6,88,1,inspection
Basmati,488,25,10,12.9,61,56,inspection
Swarna,78,6,0,16.6,80,81,inspection
Sona Masoori,356,21,16,16.5,67,78,inspection
Swarna,152,13,0,12.9,67,33,inspection
Jasmine,149,2,0,12.3,89,83,inspection
Sona Masoori,154,5,4,15.1,78,74,inspection
IR-64,91,1,3,16.5,66,32,inspection
Basmati,336,13,1,15.3,88,30,inspection
Swarna,117,4,2,14.2,65,26,inspection
Jasmine,272,6,4,11.9,77,36,inspection
Basmati,231,12,11,16.7,91,47,inspection
Ponni,75,7,3,12.3,52,37,inspection
Sona Masoori,114,8,4,14.7,70,65,inspection
Ponni,424,35,0,13.3,63,48,inspection
Jasmine,136,13,6,13.5,91,10,inspection
IR-64,349,20,7,14.2,86,80,inspection
Jasmine,122,7,4,16.0,83,6,inspection
Ponni,285,10,3,13.2,62,73,inspection
IR-64,469,23,17,15.6,73,29,inspection
Sona Masoori,414,7,11,12.8,76,46,inspection
Sona Masoori,245,12,5,15.0,88,29,inspection
Ponni,483,15,21,15.9,58,68,inspection
Jasmine,359,29,6,15.0,88,33,inspection
Sona Masoori,101,6,3,13.7,82,18,inspection
IR-64,152,3,2,16.1,50,21,inspection
Ponni,424,37,17,16.4,56,16,inspection
Sona Masoori,413,23,10,12.4,54,16,inspection
Swarna,276,16,9,13.4,75,89,inspection
Sona Masoori,232,15,1,16.3,71,75,inspection
Jasmine,83,7,2,11.9,72,57,inspection
Jasmine,487,10,4,13.8,80,89,inspection
Ponni,479,43,14,16.5,55,19,inspection
Basmati,405,20,10,14.9,74,41,inspection
Ponni,203,7,3,16.5,56,29,inspection
Ponni,325,27,6,16.3,87,65,inspection
Basmati,256,3,12,13.2,61,18,inspection
Jasmine,167,14,2,13.8,67,73,inspection
Basmati,205,11,2,12.4,68,35,inspection
IR-64,207,16,9,16.5,66,77,inspection
Jasmine,202,17,7,12.2,63,70,inspection
Sona Masoori,366,29,0,16.3,84,68,inspection
Sona Masoori,249,18,6,12.6,86,54,inspection
Swarna,211,19,1,16.4,95,90,inspection
Swarna,312,23,1,12.9,58,35,inspection
Basmati,471,7,3,11.9,64,93,inspection
Basmati,201,16,7,13.9,82,86,inspection
Basmati,79,3,3,13.8,95,66,inspection
Jasmine,488,32,6,16.2,52,81,inspection
Ponni,252,6,5,16.1,64,86,inspection
Swarna,476,10,15,12.5,81,36,inspection
Sona Masoori,324,15,7,16.0,63,0,inspection
Ponni,166,11,5,15.3,52,53,inspection
Jasmine,358,20,17,12.7,72,61,inspection
Basmati,490,26,19,12.7,68,85,inspection
Swarna,366,6,2,13.4,80,37,inspection
Basmati,274,19,1,16.6,70,31,inspection
Swarna,223,10,1,15.0,72,89,inspection
Swarna,490,23,5,15.8,81,76,inspection
Basmati,197,11,3,14.2,76,7,inspection
Jasmine,222,10,10,13.7,78,54,inspection
Basmati,308,25,4,15.4,71,81,inspection
Swarna,173,4,5,14.5,60,68,inspection
Ponni,372,4,13,13.2,88,69,inspection
Swarna,106,8,2,15.6,71,45,inspection
Jasmine,85,2,0,14.2,73,68,inspection
Ponni,262,21,11,16.1,64,37,inspection
Basmati,271,3,0,12.6,65,1,inspection
Ponni,112,2,1,14.2,81,5,inspection
IR-64,383,13,2,15.6,65,4,inspection
Swarna,395,6,9,13.6,67,10,inspection
Jasmine,450,34,12,15.4,51,1,inspection
IR-64,108,9,4,15.4,75,24,inspection
Basmati,277,9,2,14.2,51,38,inspection
Basmati,395,19,4,14.6,74,37,inspection
Swarna,347,20,4,13.0,68,89,inspection
Sona Masoori,314,23,7,15.4,73,69,inspection
Ponni,72,3,2,13.6,64,57,inspection
Jasmine,219,4,1,13.3,90,10,inspection
Swarna,363,23,8,12.8,59,51,inspection
Jasmine,489,38,6,14.5,64,7,inspection
Basmati,439,17,12,13.3,59,4,inspection
Swarna,62,5,1,12.9,63,71,inspection
Basmati,393,21,10,12.7,79,90,inspection
Jasmine,435,31,8,11.9,56,54,inspection
Sona Masoori,142,3,6,14.3,57,21,inspection
