route,load,variety,priority,preferred_status,eta_minutes,rain_safe
Daund to Warehouse A,474 bags Basmati,Basmati,1,ready,75,False
Lonikand to Warehouse B,269 bags Swarna,Swarna,2,scheduled,39,True
Daund to Warehouse A,268 bags Sona Masoori,Sona Masoori,2,standby,29,True
Open Yard C to Warehouse B,253 bags Ponni,Ponni,3,standby,113,True
Khed to Warehouse B,87 bags Basmati,Basmati,7,standby,59,True
Wagholi to Warehouse B,232 bags Sona Masoori,Sona Masoori,14,scheduled,155,True
Chakan to Warehouse C,105 bags Swarna,Swarna,16,ready,158,True
Pimpri to Warehouse A,318 bags Basmati,Basmati,10,scheduled,25,True
Hadapsar to Warehouse B,333 bags Sona Masoori,Sona Masoori,17,ready,64,False
Wagholi to Warehouse A,294 bags Ponni,Ponni,17,standby,119,True
Hadapsar to Warehouse A,380 bags Basmati,Basmati,20,scheduled,46,True
Moshi to Warehouse C,239 bags Swarna,Swarna,1,scheduled,27,False
Pimpri to Warehouse C,412 bags Sona Masoori,Sona Masoori,10,ready,161,True
Lonikand to Warehouse A,415 bags Swarna,Swarna,9,scheduled,57,False
Indapur to Warehouse C,411 bags Ponni,Ponni,20,scheduled,122,False
Bhosari to Warehouse C,201 bags Ponni,Ponni,20,scheduled,131,True
Lonikand to Warehouse C,201 bags IR-64,IR-64,18,ready,163,False
Khed to Warehouse C,177 bags IR-64,IR-64,11,scheduled,41,False
Sanaswadi to Warehouse C,208 bags Ponni,Ponni,20,standby,59,True
Moshi to Warehouse A,479 bags IR-64,IR-64,10,standby,125,False
Pimpri to Warehouse C,78 bags Swarna,Swarna,20,scheduled,20,False
Talegaon to Warehouse B,377 bags Sona Masoori,Sona Masoori,15,ready,22,False
Talegaon to Warehouse C,160 bags Basmati,Basmati,18,scheduled,73,True
Open Yard C to Warehouse C,389 bags Ponni,Ponni,12,scheduled,77,True
Khed to Warehouse C,437 bags Sona Masoori,Sona Masoori,10,standby,103,False
Lonikand to Warehouse C,110 bags IR-64,IR-64,19,scheduled,126,False
Sanaswadi to Warehouse C,461 bags IR-64,IR-64,13,scheduled,106,True
Chakan to Warehouse C,186 bags Sona Masoori,Sona Masoori,18,ready,161,False
Open Yard C to Warehouse B,372 bags Sona Masoori,Sona Masoori,7,standby,158,False
Indapur to Warehouse B,100 bags IR-64,IR-64,7,scheduled,95,False
Lonikand to Warehouse A,178 bags IR-64,IR-64,9,ready,153,True
Hadapsar to Warehouse C,457 bags Basmati,Basmati,17,ready,175,True
Bhosari to Warehouse A,476 bags IR-64,IR-64,16,standby,15,True
Khed to Warehouse C,272 bags Ponni,Ponni,13,ready,31,True
Moshi to Warehouse B,307 bags IR-64,IR-64,3,standby,64,False
Bhosari to Warehouse A,74 bags Sona Masoori,Sona Masoori,13,scheduled,29,False
Moshi to Warehouse B,372 bags Ponni,Ponni,3,scheduled,97,True
Baramati to Warehouse B,446 bags IR-64,IR-64,17,standby,164,False
Khed to Warehouse B,371 bags IR-64,IR-64,2,scheduled,109,True
Khed to Warehouse B,188 bags Sona Masoori,Sona Masoori,16,ready,128,False
Chakan to Warehouse A,79 bags Swarna,Swarna,5,scheduled,118,False
Khed to Warehouse A,355 bags IR-64,IR-64,12,standby,157,True
Daund to Warehouse B,421 bags Swarna,Swarna,13,standby,56,True
Indapur to Warehouse B,61 bags Swarna,Swarna,17,scheduled,151,False
Moshi to Warehouse A,151 bags IR-64,IR-64,15,standby,37,True
Lonikand to Warehouse B,233 bags IR-64,IR-64,7,ready,117,True
Baramati to Warehouse C,90 bags Swarna,Swarna,1,standby,57,True
Moshi to Warehouse C,133 bags Sona Masoori,Sona Masoori,13,standby,71,False
Hadapsar to Warehouse C,392 bags Basmati,Basmati,5,ready,141,False
Chakan to Warehouse A,147 bags IR-64,IR-64,15,standby,154,False
Wagholi to Warehouse B,353 bags Sona Masoori,Sona Masoori,6,scheduled,97,True
Talegaon to Warehouse B,200 bags Ponni,Ponni,2,standby,125,False
Wagholi to Warehouse A,171 bags Swarna,Swarna,7,scheduled,79,True
Chakan to Warehouse B,323 bags Sona Masoori,Sona Masoori,5,ready,142,True
Lonikand to Warehouse A,88 bags Sona Masoori,Sona Masoori,6,scheduled,38,False
Lonikand to Warehouse C,324 bags IR-64,IR-64,4,scheduled,64,False
Shirur to Warehouse B,137 bags Ponni,Ponni,18,ready,140,False
Hadapsar to Warehouse B,493 bags IR-64,IR-64,18,standby,44,True
Shirur to Warehouse C,213 bags Swarna,Swarna,1,ready,73,False
Daund to Warehouse A,302 bags Ponni,Ponni,18,scheduled,177,False
Chakan to Warehouse C,110 bags Swarna,Swarna,16,scheduled,30,False
Bhosari to Warehouse B,170 bags Swarna,Swarna,17,standby,18,False
Indapur to Warehouse A,242 bags Ponni,Ponni,5,standby,58,True
Hadapsar to Warehouse C,228 bags Basmati,Basmati,6,standby,115,False
Sanaswadi to Warehouse B,326 bags Swarna,Swarna,4,scheduled,82,False
Pimpri to Warehouse A,425 bags Sona Masoori,Sona Masoori,17,scheduled,59,True
Pimpri to Warehouse A,217 bags Ponni,Ponni,13,ready,167,True
Shirur to Warehouse C,323 bags Basmati,Basmati,8,ready,174,False
Indapur to Warehouse C,494 bags Sona Masoori,Sona Masoori,6,standby,24,False
Indapur to Warehouse A,359 bags IR-64,IR-64,18,ready,168,False
Shirur to Warehouse B,381 bags IR-64,IR-64,10,scheduled,101,True
Khed to Warehouse A,195 bags Basmati,Basmati,15,scheduled,154,False
Indapur to Warehouse A,405 bags Swarna,Swarna,3,ready,60,True
Lonikand to Warehouse C,255 bags Swarna,Swarna,13,ready,65,True
Sanaswadi to Warehouse C,281 bags Basmati,Basmati,13,standby,172,True
Daund to Warehouse C,389 bags Swarna,Swarna,16,scheduled,151,False
Chakan to Warehouse C,126 bags Ponni,Ponni,19,ready,144,False
Daund to Warehouse A,478 bags IR-64,IR-64,11,scheduled,162,True
Baramati to Warehouse C,69 bags Ponni,Ponni,11,scheduled,149,True
Chakan to Warehouse C,145 bags IR-64,IR-64,12,standby,83,True
Khed to Warehouse B,436 bags Swarna,Swarna,13,scheduled,173,False
Khed to Warehouse B,341 bags Sona Masoori,Sona Masoori,1,scheduled,46,True
Wagholi to Warehouse C,140 bags Basmati,Basmati,12,ready,79,True
Lonikand to Warehouse C,251 bags Swarna,Swarna,19,ready,65,True
Open Yard C to Warehouse C,200 bags IR-64,IR-64,8,scheduled,49,False
Indapur to Warehouse B,475 bags IR-64,IR-64,7,scheduled,161,True
Open Yard C to Warehouse B,134 bags Basmati,Basmati,3,scheduled,98,True
Shirur to Warehouse B,419 bags Swarna,Swarna,6,ready,114,True
Pimpri to Warehouse A,256 bags Ponni,Ponni,8,scheduled,71,False
Shirur to Warehouse C,450 bags Basmati,Basmati,4,standby,144,True
Shirur to Warehouse C,250 bags Basmati,Basmati,12,standby,180,False
Shirur to Warehouse B,247 bags Ponni,Ponni,11,standby,171,False
Indapur to Warehouse B,445 bags Basmati,Basmati,9,standby,16,True
Wagholi to Warehouse C,369 bags Sona Masoori,Sona Masoori,17,scheduled,34,True
Lonikand to Warehouse B,356 bags Swarna,Swarna,6,standby,65,False
Pimpri to Warehouse A,187 bags Sona Masoori,Sona Masoori,3,ready,68,False
Wagholi to Warehouse A,216 bags Basmati,Basmati,15,standby,98,False
Hadapsar to Warehouse A,160 bags IR-64,IR-64,12,scheduled,69,False
Baramati to Warehouse C,483 bags Ponni,Ponni,4,standby,124,False
Bhosari to Warehouse B,73 bags Sona Masoori,Sona Masoori,20,ready,53,True
Wagholi to Warehouse A,68 bags Basmati,Basmati,6,ready,113,True
Daund to Warehouse C,318 bags Swarna,Swarna,18,standby,169,True
Indapur to Warehouse B,53 bags Basmati,Basmati,12,standby,75,False
Chakan to Warehouse A,120 bags Basmati,Basmati,18,ready,121,True
Open Yard C to Warehouse C,309 bags Swarna,Swarna,15,scheduled,128,False
Wagholi to Warehouse A,120 bags Swarna,Swarna,11,scheduled,101,False
Shirur to Warehouse C,223 bags Ponni,Ponni,14,ready,96,False
Talegaon to Warehouse C,115 bags Basmati,Basmati,20,standby,36,False
Open Yard C to Warehouse A,119 bags Sona Masoori,Sona Masoori,2,standby,54,False
Open Yard C to Warehouse C,167 bags Ponni,Ponni,8,standby,75,True
Khed to Warehouse A,459 bags Basmati,Basmati,11,standby,68,True
Open Yard C to Warehouse B,296 bags Sona Masoori,Sona Masoori,17,standby,177,False
Shirur to Warehouse C,143 bags Sona Masoori,Sona Masoori,10,ready,87,False
Chakan to Warehouse C,367 bags Swarna,Swarna,5,ready,71,False
Baramati to Warehouse C,453 bags Swarna,Swarna,10,scheduled,120,True
Daund to Warehouse A,116 bags Basmati,Basmati,17,scheduled,57,False
Wagholi to Warehouse A,85 bags Ponni,Ponni,7,standby,154,True
Daund to Warehouse A,147 bags Sona Masoori,Sona Masoori,5,standby,170,True
Lonikand to Warehouse C,53 bags Basmati,Basmati,20,standby,30,False
Daund to Warehouse A,96 bags Ponni,Ponni,8,ready,82,False
Talegaon to Warehouse A,417 bags Ponni,Ponni,15,ready,21,True
Indapur to Warehouse B,256 bags Ponni,Ponni,3,scheduled,131,True
Indapur to Warehouse A,229 bags Swarna,Swarna,15,ready,81,False
Shirur to Warehouse C,186 bags Swarna,Swarna,5,ready,54,True
Open Yard C to Warehouse A,366 bags Sona Masoori,Sona Masoori,17,scheduled,131,False
Lonikand to Warehouse C,333 bags IR-64,IR-64,4,ready,28,True
Daund to Warehouse B,111 bags Swarna,Swarna,6,standby,132,True
Hadapsar to Warehouse B,453 bags IR-64,IR-64,19,scheduled,164,True
Bhosari to Warehouse A,216 bags IR-64,IR-64,6,standby,162,True
Daund to Warehouse B,137 bags Sona Masoori,Sona Masoori,14,ready,164,True
Khed to Warehouse B,170 bags Ponni,Ponni,18,standby,75,True
Open Yard C to Warehouse C,236 bags IR-64,IR-64,19,scheduled,67,False
Shirur to Warehouse B,186 bags Swarna,Swarna,4,ready,180,False
Daund to Warehouse C,302 bags IR-64,IR-64,6,ready,89,True
Sanaswadi to Warehouse C,220 bags Basmati,Basmati,9,scheduled,142,True
Talegaon to Warehouse B,359 bags Ponni,Ponni,15,standby,62,True
Baramati to Warehouse A,132 bags Sona Masoori,Sona Masoori,11,standby,167,False
Indapur to Warehouse C,304 bags Sona Masoori,Sona Masoori,7,ready,98,True
Pimpri to Warehouse C,315 bags IR-64,IR-64,5,standby,22,True
Talegaon to Warehouse B,253 bags Sona Masoori,Sona Masoori,18,standby,59,True
Lonikand to Warehouse A,185 bags Ponni,Ponni,16,scheduled,134,False
Open Yard C to Warehouse C,157 bags Basmati,Basmati,17,ready,62,True
Khed to Warehouse C,251 bags Sona Masoori,Sona Masoori,2,standby,19,False
Wagholi to Warehouse A,248 bags Sona Masoori,Sona Masoori,19,scheduled,97,True
Baramati to Warehouse A,227 bags IR-64,IR-64,7,scheduled,161,True
Sanaswadi to Warehouse A,379 bags Ponni,Ponni,6,scheduled,165,False
Khed to Warehouse A,97 bags Basmati,Basmati,7,ready,85,True
Sanaswadi to Warehouse C,471 bags IR-64,IR-64,1,scheduled,121,False
Moshi to Warehouse A,401 bags Ponni,Ponni,16,standby,170,True
Talegaon to Warehouse B,74 bags IR-64,IR-64,5,standby,68,True
Moshi to Warehouse C,408 bags Swarna,Swarna,14,ready,50,True
Moshi to Warehouse C,444 bags Sona Masoori,Sona Masoori,4,standby,112,False
Moshi to Warehouse A,142 bags Sona Masoori,Sona Masoori,4,scheduled,23,False
Talegaon to Warehouse C,225 bags Ponni,Ponni,15,standby,65,True
Sanaswadi to Warehouse B,342 bags IR-64,IR-64,14,ready,101,True
Shirur to Warehouse A,388 bags IR-64,IR-64,15,scheduled,92,True
Talegaon to Warehouse B,140 bags Sona Masoori,Sona Masoori,3,ready,20,False
Khed to Warehouse C,121 bags Basmati,Basmati,1,scheduled,98,True
Talegaon to Warehouse C,196 bags Swarna,Swarna,5,standby,166,True
Daund to Warehouse B,229 bags Swarna,Swarna,3,scheduled,15,True
Daund to Warehouse C,341 bags Ponni,Ponni,12,standby,164,False
Bhosari to Warehouse A,447 bags Sona Masoori,Sona Masoori,8,ready,45,True
Wagholi to Warehouse A,267 bags Basmati,Basmati,18,ready,153,False
Chakan to Warehouse B,440 bags IR-64,IR-64,7,standby,81,True
Lonikand to Warehouse C,448 bags IR-64,IR-64,1,standby,138,True
Chakan to Warehouse A,235 bags Ponni,Ponni,6,ready,74,False
Wagholi to Warehouse A,135 bags Ponni,Ponni,20,standby,128,True
Chakan to Warehouse B,491 bags Ponni,Ponni,1,ready,73,True
Talegaon to Warehouse B,321 bags Sona Masoori,Sona Masoori,11,ready,81,True
Bhosari to Warehouse C,373 bags Sona Masoori,Sona Masoori,8,scheduled,88,True
Hadapsar to Warehouse A,113 bags Sona Masoori,Sona Masoori,20,ready,118,False
Pimpri to Warehouse C,281 bags Basmati,Basmati,14,ready,174,True
Open Yard C to Warehouse B,352 bags Basmati,Basmati,12,ready,123,True
Hadapsar to Warehouse B,295 bags Sona Masoori,Sona Masoori,5,ready,133,False
Sanaswadi to Warehouse A,72 bags Ponni,Ponni,2,standby,146,True
Sanaswadi to Warehouse A,63 bags Swarna,Swarna,18,standby,40,False
Chakan to Warehouse B,440 bags Sona Masoori,Sona Masoori,16,standby,123,True
Shirur to Warehouse A,314 bags Sona Masoori,Sona Masoori,12,ready,42,True
Pimpri to Warehouse A,494 bags Sona Masoori,Sona Masoori,11,scheduled,30,False
Moshi to Warehouse A,310 bags Sona Masoori,Sona Masoori,14,ready,41,True
Sanaswadi to Warehouse B,414 bags IR-64,IR-64,11,standby,27,False
Open Yard C to Warehouse C,191 bags Swarna,Swarna,10,standby,117,True
Moshi to Warehouse C,150 bags Sona Masoori,Sona Masoori,1,scheduled,126,True
Open Yard C to Warehouse C,490 bags Ponni,Ponni,12,ready,124,False
Pimpri to Warehouse B,304 bags Sona Masoori,Sona Masoori,7,standby,158,True
Open Yard C to Warehouse A,393 bags IR-64,IR-64,20,ready,55,False
Lonikand to Warehouse B,479 bags Swarna,Swarna,13,ready,53,True
Open Yard C to Warehouse C,82 bags Ponni,Ponni,8,standby,136,True
Sanaswadi to Warehouse A,186 bags Swarna,Swarna,14,ready,40,False
Open Yard C to Warehouse C,351 bags Sona Masoori,Sona Masoori,3,standby,27,False
Pimpri to Warehouse B,391 bags Swarna,Swarna,4,ready,24,True
Daund to Warehouse C,184 bags Ponni,Ponni,8,scheduled,156,True
Bhosari to Warehouse C,338 bags Basmati,Basmati,19,standby,95,True
Khed to Warehouse C,83 bags Basmati,Basmati,6,standby,80,True
Indapur to Warehouse C,202 bags Ponni,Ponni,16,ready,170,False
Khed to Warehouse A,381 bags Sona Masoori,Sona Masoori,7,ready,166,False
Khed to Warehouse A,466 bags Swarna,Swarna,13,scheduled,157,False
Moshi to Warehouse B,245 bags Sona Masoori,Sona Masoori,5,standby,139,False
Sanaswadi to Warehouse B,295 bags Ponni,Ponni,9,standby,74,True
Indapur to Warehouse B,273 bags IR-64,IR-64,7,scheduled,146,False
Pimpri to Warehouse C,108 bags Ponni,Ponni,15,standby,32,False
Talegaon to Warehouse B,484 bags IR-64,IR-64,1,standby,134,True
Shirur to Warehouse B,469 bags Ponni,Ponni,6,standby,37,False
Sanaswadi to Warehouse A,388 bags Sona Masoori,Sona Masoori,9,standby,154,True
Hadapsar to Warehouse B,400 bags Ponni,Ponni,19,scheduled,167,False
Lonikand to Warehouse A,107 bags Sona Masoori,Sona Masoori,15,standby,152,False
Lonikand to Warehouse C,310 bags Sona Masoori,Sona Masoori,3,scheduled,117,False
Wagholi to Warehouse C,120 bags IR-64,IR-64,4,ready,106,True
Pimpri to Warehouse B,309 bags Basmati,Basmati,15,standby,153,True
Sanaswadi to Warehouse A,182 bags Ponni,Ponni,2,ready,136,False
Baramati to Warehouse C,97 bags IR-64,IR-64,7,ready,159,True
Wagholi to Warehouse C,256 bags Sona Masoori,Sona Masoori,3,standby,145,False
Khed to Warehouse C,188 bags IR-64,IR-64,20,scheduled,123,True
Baramati to Warehouse C,435 bags Swarna,Swarna,19,scheduled,137,True
Wagholi to Warehouse A,351 bags Basmati,Basmati,8,scheduled,45,False
Lonikand to Warehouse A,454 bags Ponni,Ponni,14,standby,105,False
Sanaswadi to Warehouse B,332 bags IR-64,IR-64,6,ready,87,True
Open Yard C to Warehouse C,243 bags Basmati,Basmati,4,ready,163,False
Talegaon to Warehouse B,377 bags Sona Masoori,Sona Masoori,20,ready,178,False
Bhosari to Warehouse C,242 bags Swarna,Swarna,18,standby,82,False
Sanaswadi to Warehouse B,281 bags Ponni,Ponni,10,standby,31,False
Sanaswadi to Warehouse A,337 bags Basmati,Basmati,4,ready,51,True
Lonikand to Warehouse B,346 bags IR-64,IR-64,14,ready,153,True
Sanaswadi to Warehouse C,343 bags IR-64,IR-64,9,scheduled,117,True
Pimpri to Warehouse A,500 bags Swarna,Swarna,5,ready,116,False
Talegaon to Warehouse C,277 bags Ponni,Ponni,19,standby,123,True
Pimpri to Warehouse A,95 bags Basmati,Basmati,3,standby,43,True
Open Yard C to Warehouse C,436 bags Ponni,Ponni,6,standby,119,True
Hadapsar to Warehouse A,293 bags Swarna,Swarna,1,ready,62,True
Sanaswadi to Warehouse B,214 bags Ponni,Ponni,17,standby,117,False
Indapur to Warehouse C,61 bags IR-64,IR-64,12,ready,92,False
Talegaon to Warehouse B,113 bags Ponni,Ponni,4,ready,96,True
Bhosari to Warehouse A,406 bags Basmati,Basmati,9,standby,160,False
Chakan to Warehouse A,290 bags Swarna,Swarna,3,scheduled,47,False
Pimpri to Warehouse C,343 bags Ponni,Ponni,2,scheduled,153,True
Bhosari to Warehouse B,286 bags Ponni,Ponni,5,standby,84,True
Baramati to Warehouse B,261 bags Ponni,Ponni,4,standby,98,True
Lonikand to Warehouse B,370 bags Swarna,Swarna,9,scheduled,123,True
Daund to Warehouse C,252 bags Ponni,Ponni,18,ready,94,False
Pimpri to Warehouse B,402 bags Sona Masoori,Sona Masoori,11,ready,165,False
Open Yard C to Warehouse C,75 bags Sona Masoori,Sona Masoori,4,scheduled,49,True
Sanaswadi to Warehouse C,449 bags Swarna,Swarna,12,standby,112,True
Open Yard C to Warehouse A,86 bags Swarna,Swarna,3,ready,30,True
Bhosari to Warehouse C,325 bags Ponni,Ponni,13,standby,122,False
Hadapsar to Warehouse B,413 bags IR-64,IR-64,4,scheduled,163,False
Open Yard C to Warehouse B,356 bags Sona Masoori,Sona Masoori,13,ready,16,True
Sanaswadi to Warehouse C,385 bags Ponni,Ponni,10,standby,91,False
Talegaon to Warehouse A,200 bags Swarna,Swarna,13,scheduled,85,False
Chakan to Warehouse B,260 bags Sona Masoori,Sona Masoori,11,ready,82,True
Sanaswadi to Warehouse B,211 bags Swarna,Swarna,12,ready,128,False
Shirur to Warehouse A,342 bags Swarna,Swarna,10,ready,71,True
Indapur to Warehouse C,462 bags Ponni,Ponni,1,ready,48,True
Bhosari to Warehouse B,182 bags Swarna,Swarna,13,standby,177,True
Indapur to Warehouse B,222 bags Basmati,Basmati,2,standby,116,False
Pimpri to Warehouse C,227 bags IR-64,IR-64,2,standby,123,True
Bhosari to Warehouse A,110 bags IR-64,IR-64,5,ready,61,False
Chakan to Warehouse B,405 bags Swarna,Swarna,10,ready,49,False
Pimpri to Warehouse A,249 bags Sona Masoori,Sona Masoori,4,standby,60,False
Daund to Warehouse A,97 bags Basmati,Basmati,17,ready,151,False
Sanaswadi to Warehouse A,439 bags Ponni,Ponni,1,standby,136,False
Baramati to Warehouse C,303 bags Ponni,Ponni,5,standby,35,True
Pimpri to Warehouse C,233 bags Swarna,Swarna,1,ready,129,True
Daund to Warehouse B,455 bags Basmati,Basmati,6,scheduled,123,True
Talegaon to Warehouse C,106 bags IR-64,IR-64,2,standby,150,False
Hadapsar to Warehouse C,438 bags Swarna,Swarna,11,standby,125,False
Daund to Warehouse C,423 bags Swarna,Swarna,18,standby,133,False
Bhosari to Warehouse C,136 bags Basmati,Basmati,9,scheduled,59,False
Talegaon to Warehouse A,393 bags Ponni,Ponni,8,scheduled,98,False
Open Yard C to Warehouse B,74 bags Sona Masoori,Sona Masoori,14,ready,93,False
Wagholi to Warehouse C,289 bags Basmati,Basmati,5,standby,34,True
Talegaon to Warehouse A,128 bags Swarna,Swarna,10,scheduled,172,False
Khed to Warehouse C,425 bags Sona Masoori,Sona Masoori,15,ready,116,True
Hadapsar to Warehouse C,200 bags IR-64,IR-64,16,standby,22,True
Bhosari to Warehouse C,325 bags Swarna,Swarna,6,standby,136,False
Daund to Warehouse A,385 bags Ponni,Ponni,2,standby,170,False
Hadapsar to Warehouse A,180 bags Basmati,Basmati,7,standby,113,True
Open Yard C to Warehouse C,329 bags Ponni,Ponni,5,ready,174,True
Open Yard C to Warehouse A,206 bags Sona Masoori,Sona Masoori,2,scheduled,177,True
Shirur to Warehouse A,416 bags Swarna,Swarna,15,ready,144,False
Shirur to Warehouse A,481 bags Swarna,Swarna,12,standby,86,False
Wagholi to Warehouse C,234 bags Basmati,Basmati,9,ready,28,True
Bhosari to Warehouse C,500 bags Basmati,Basmati,3,ready,169,True
Baramati to Warehouse C,451 bags Ponni,Ponni,4,standby,179,False
Hadapsar to Warehouse C,355 bags Sona Masoori,Sona Masoori,5,scheduled,131,False
Bhosari to Warehouse C,426 bags Swarna,Swarna,20,scheduled,163,False
Pimpri to Warehouse C,313 bags IR-64,IR-64,20,standby,93,False
Baramati to Warehouse C,409 bags IR-64,IR-64,16,standby,85,False
Khed to Warehouse A,179 bags Swarna,Swarna,8,standby,37,False
Daund to Warehouse B,139 bags Basmati,Basmati,5,standby,157,True
Pimpri to Warehouse B,133 bags Ponni,Ponni,8,standby,160,True
Talegaon to Warehouse A,380 bags Ponni,Ponni,16,standby,115,True
Lonikand to Warehouse C,157 bags IR-64,IR-64,17,scheduled,27,True
Talegaon to Warehouse A,112 bags Sona Masoori,Sona Masoori,4,standby,62,True
Talegaon to Warehouse A,58 bags Sona Masoori,Sona Masoori,17,ready,133,False
Chakan to Warehouse A,73 bags Sona Masoori,Sona Masoori,17,scheduled,167,False
Daund to Warehouse B,112 bags Sona Masoori,Sona Masoori,18,standby,90,True
Open Yard C to Warehouse B,457 bags Sona Masoori,Sona Masoori,10,standby,75,False
Lonikand to Warehouse B,382 bags IR-64,IR-64,3,scheduled,145,True
Indapur to Warehouse B,191 bags Swarna,Swarna,18,scheduled,50,True
Open Yard C to Warehouse B,259 bags Ponni,Ponni,11,scheduled,40,True
Sanaswadi to Warehouse A,425 bags Sona Masoori,Sona Masoori,15,ready,61,True
Open Yard C to Warehouse B,218 bags Ponni,Ponni,13,ready,34,False
Sanaswadi to Warehouse C,73 bags Swarna,Swarna,14,scheduled,114,False
Wagholi to Warehouse A,87 bags Sona Masoori,Sona Masoori,13,ready,91,True
Daund to Warehouse A,410 bags IR-64,IR-64,10,standby,129,False
Moshi to Warehouse B,364 bags Ponni,Ponni,9,scheduled,135,True
Shirur to Warehouse C,57 bags Basmati,Basmati,18,standby,125,False
Shirur to Warehouse A,200 bags Ponni,Ponni,5,ready,151,False
Talegaon to Warehouse B,360 bags Swarna,Swarna,1,scheduled,74,False
Shirur to Warehouse C,316 bags Ponni,Ponni,4,ready,150,False
Indapur to Warehouse C,87 bags Basmati,Basmati,1,ready,166,False
Talegaon to Warehouse B,282 bags Sona Masoori,Sona Masoori,19,ready,111,True
Daund to Warehouse C,171 bags IR-64,IR-64,1,standby,48,False
Lonikand to Warehouse C,441 bags Basmati,Basmati,15,scheduled,148,True
Chakan to Warehouse A,204 bags Sona Masoori,Sona Masoori,18,standby,161,False
Lonikand to Warehouse A,87 bags Swarna,Swarna,12,ready,145,False
Moshi to Warehouse B,299 bags Swarna,Swarna,10,scheduled,38,True
Baramati to Warehouse B,247 bags Ponni,Ponni,6,standby,39,True
Wagholi to Warehouse A,361 bags Ponni,Ponni,13,standby,126,False
Talegaon to Warehouse A,122 bags Ponni,Ponni,16,ready,146,True
Baramati to Warehouse A,465 bags Basmati,Basmati,12,ready,48,True
Bhosari to Warehouse C,227 bags Basmati,Basmati,12,ready,26,False
Chakan to Warehouse C,114 bags Sona Masoori,Sona Masoori,19,standby,47,False
Baramati to Warehouse A,413 bags Ponni,Ponni,1,scheduled,27,True
Khed to Warehouse B,162 bags Basmati,Basmati,14,ready,28,False
Talegaon to Warehouse A,473 bags IR-64,IR-64,9,ready,60,True
Lonikand to Warehouse C,362 bags Basmati,Basmati,9,standby,29,True
Baramati to Warehouse C,383 bags Ponni,Ponni,6,standby,82,False
Hadapsar to Warehouse A,119 bags Swarna,Swarna,3,ready,153,False
Sanaswadi to Warehouse B,83 bags Sona Masoori,Sona Masoori,12,scheduled,179,True
Moshi to Warehouse A,344 bags Basmati,Basmati,1,scheduled,60,False
Lonikand to Warehouse A,467 bags Sona Masoori,Sona Masoori,11,standby,124,True
Daund to Warehouse A,430 bags Basmati,Basmati,8,ready,28,True
Hadapsar to Warehouse A,66 bags Swarna,Swarna,3,ready,166,False
Khed to Warehouse A,52 bags Swarna,Swarna,9,scheduled,37,False
Shirur to Warehouse C,217 bags Basmati,Basmati,8,scheduled,51,False
Chakan to Warehouse C,334 bags Ponni,Ponni,7,ready,103,True
Pimpri to Warehouse B,192 bags Swarna,Swarna,4,ready,37,True
Baramati to Warehouse A,462 bags Basmati,Basmati,18,standby,69,True
Sanaswadi to Warehouse B,220 bags Sona Masoori,Sona Masoori,5,ready,158,False
Hadapsar to Warehouse C,143 bags Sona Masoori,Sona Masoori,15,ready,69,False
Baramati to Warehouse B,318 bags IR-64,IR-64,11,standby,122,True
Chakan to Warehouse B,329 bags Swarna,Swarna,2,scheduled,124,False
Hadapsar to Warehouse C,330 bags IR-64,IR-64,9,ready,153,True
Shirur to Warehouse B,140 bags Basmati,Basmati,8,ready,176,False
Chakan to Warehouse A,326 bags Sona Masoori,Sona Masoori,11,ready,28,False
Bhosari to Warehouse B,191 bags Sona Masoori,Sona Masoori,13,ready,129,False
Open Yard C to Warehouse A,236 bags Swarna,Swarna,6,standby,159,True
Daund to Warehouse A,354 bags Sona Masoori,Sona Masoori,18,ready,98,True
Sanaswadi to Warehouse B,372 bags Basmati,Basmati,1,scheduled,168,True
Lonikand to Warehouse A,101 bags Sona Masoori,Sona Masoori,4,ready,144,False
Moshi to Warehouse C,401 bags Sona Masoori,Sona Masoori,5,ready,90,False
Khed to Warehouse B,77 bags IR-64,IR-64,6,scheduled,21,False
Daund to Warehouse C,239 bags IR-64,IR-64,11,ready,36,True
Sanaswadi to Warehouse A,391 bags IR-64,IR-64,6,ready,95,False
Bhosari to Warehouse A,55 bags IR-64,IR-64,14,scheduled,27,True
Open Yard C to Warehouse A,222 bags IR-64,IR-64,6,ready,165,False
Baramati to Warehouse C,366 bags Basmati,Basmati,2,ready,87,True
Bhosari to Warehouse B,101 bags Swarna,Swarna,7,standby,133,True
Lonikand to Warehouse B,412 bags Ponni,Ponni,12,scheduled,22,True
Khed to Warehouse A,74 bags Sona Masoori,Sona Masoori,13,ready,174,True
Wagholi to Warehouse C,56 bags IR-64,IR-64,19,standby,15,False
Open Yard C to Warehouse A,66 bags IR-64,IR-64,14,standby,144,False
Moshi to Warehouse A,327 bags Basmati,Basmati,20,standby,71,False
Lonikand to Warehouse C,365 bags IR-64,IR-64,18,ready,103,True
Lonikand to Warehouse B,401 bags Ponni,Ponni,11,standby,26,False
Chakan to Warehouse A,67 bags Sona Masoori,Sona Masoori,14,ready,160,True
Khed to Warehouse A,253 bags Ponni,Ponni,14,scheduled,30,True
Shirur to Warehouse B,417 bags Swarna,Swarna,16,ready,26,True
Baramati to Warehouse C,186 bags IR-64,IR-64,7,scheduled,64,False
Wagholi to Warehouse C,407 bags Basmati,Basmati,8,standby,15,False
